,BLEU-1,BLEU-4,ROUGE-L,Micro-F1-14,Macro-F1-14,Samples-F1-14,Micro-F1-5,Macro-F1-5,Samples-F1-5,Micro-F1-14+,Macro-F1-14+,Samples-F1-14+,Micro-F1-5+,Macro-F1-5+,Samples-F1-5+,F1-RadGraph
median,22.10417588903645,2.6775456311638974,0.1361870506725049,0.3951367781155016,0.16508728540989426,0.3869080086580087,0.26430687665679087,0.16797953964194373,0.091,0.39099909990999104,0.22430499968162243,0.3856785714285714,0.3131548610221596,0.2797543811183625,0.11802380952380953,0.1935464478993889
ci_l,19.817331418941343,1.8984022795559785,0.12588792075255098,0.32114146933819065,0.12700796809895623,0.3023683982683983,0.1447665847665848,0.09417385057471267,0.04298333333333334,0.3159790514629225,0.1607662334044789,0.3010069444444444,0.19533486707566464,0.17877865834271942,0.0664607142857143,0.17244540069917436
ci_h,24.266329532700112,3.417567743913313,0.14806749971593927,0.47325660377358486,0.20092094767301197,0.4765220598845598,0.37723725549812503,0.24059409663212905,0.14287499999999997,0.4660580261484341,0.28250883843712127,0.47461448412698415,0.4229476343145826,0.3777757541325311,0.17661071428571426,0.2153316598972937
