,BLEU-1,BLEU-4,ROUGE-L,Micro-F1-14,Macro-F1-14,Samples-F1-14,Micro-F1-5,Macro-F1-5,Samples-F1-5,Micro-F1-14+,Macro-F1-14+,Samples-F1-14+,Micro-F1-5+,Macro-F1-5+,Samples-F1-5+,F1-RadGraph
median,17.524925480522146,1.383528611979587,0.11666824248922344,0.2872345694736321,0.12914085702751577,0.21321428571428572,0.21192052980132453,0.14341237181143235,0.11166666666666664,0.29746722713023654,0.1782659146879185,0.21979545454545457,0.2954935957513277,0.2708610980572361,0.15713095238095237,0.13941803837696823
ci_l,15.501535711696521,0.9013438167481327,0.1078432673415833,0.21979091771878864,0.09426759117999359,0.15442694805194804,0.13513513513513511,0.07718254023452172,0.06333333333333332,0.2299916213442537,0.13656941578202955,0.1573378787878788,0.2151,0.18505348122550908,0.10585,0.12533710224983213
ci_h,19.502515482239737,1.8100903651866795,0.12494621862276682,0.3483569261880687,0.16159432148357564,0.2761074675324675,0.3048780487804878,0.21905806442293674,0.165,0.36302164179104474,0.2244741600608556,0.27611273448773443,0.37009128166915045,0.3436770304523689,0.21070595238095235,0.1534172134414622
